,Tweet,Target,Stance,Opinion Towards,Sentiment
176,urge wealthy temple bolster economy #india #commodities #worldnews #gold #semst #economics,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
177,religion sex music sting #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
178,likely real bigfoot loch ness monster god #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
179,alot angry people world peace #semst #love,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg
180,want become religion ponder upon one good mean acquire #qur'an #steadfastness #semst #steadfast,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
181,holy mary mother god pray sinner hour death aman #rosary #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
182,true fiction incapable kill anything #god #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
183,hooligan challenge everyone police must right frustration criminal face black white #police #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
184,station destination #life #islam #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
185,cover girl make lack deficiency foundation see blend perfectly #semst,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
186,quite mistaken #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
187,every time arrive home constant awe much god love family well urs love life #blessed #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
188,crucify christ long live christ live galatian #teamjesus #semst #holybible,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
189,create heavens earth mere play quran #semst #athiest,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
190,time posture pretend pontificating time #baltimoreriots #semst #baltimore,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
191,jesus know bring far leave #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
192,appreciate almighty god wake diz beautiful day give brilliant idea grow #semst #hustle,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos
193,kip laugh shed tear know go hpn end #childofgod #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
194,everywhere still spirit today thee lil faith slap face lol #semst #helives #love,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
195,allow life potter #god #iamtheclay #christianity #belief #semst #iamisthepotter,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
196,many doctrine create christian could save face #truth #semst #theology,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
197,love sahaba sign faith hate sahaba sign hypocrisy let respect sahaba #semst #love #hypocrisy,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other
198,holy mary mother god pray sinner hour death aman #rosary #teamjesus #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
199,evidence base thought foot plant ground superstition base thought #semst #freethinker,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other
200,call angel angel sing innocent may god bless #semst #maryjaneveloso,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
201,god gap evidence #semst #next,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
202,think life believe god add #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
203,two kind people earth believe magic miracle myth rational regard #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
204,esteem win abandon esteem give jesus scott sauls #semst #esteem,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
205,purpose life provide clear concise answer question #islam #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
206,know god always listen always answer maybe way hope way know good #prayerworks #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
207,framer constitution mean freedom religion freedom religion billy graham #quote #semst,Atheism,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
208,afraid wrong strong fight avoid face fact belief base fear compound #semst,Atheism,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
209,year ago today son take god fuck fuck much #semst,Atheism,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg
210,every tree know fruit thorn man gather fig bramble bush gather grape luke #semst,Atheism,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos
211,imagine living life get credit everything well get blame everything wrong #semst,Atheism,NONE,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg
212,alittle cup #semst #yougotit,Atheism,NONE,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",pos
